OTU_ID	Total_abund	FHF1-St1-Gr1-A	FHF1-St1-Gr1-B	FHF1-St1-Gr1-C	FHF1-St1-Gr2-A	FHF1-St1-Gr2-B	FHF1-St1-Gr2-C	FHF1-St2-Gr1-A	FHF1-St2-Gr1-B	FHF1-St2-Gr2-A	FHF1-St2-Gr2-B	FHF1-St2-Gr2-C	FHF1-St3-Gr1-A	FHF1-St3-Gr1-B	FHF1-St3-Gr1-C	FHF1-St3-Gr2-A	FHF1-St3-Gr2-B	FHF1-St3-Gr2-C	FHF1-St4-Gr1-A	FHF1-St4-Gr1-B	FHF1-St4-Gr1-C	FHF1-St4-Gr2-A	FHF1-St4-Gr2-B	FHF1-St4-Gr2-C	FHF2-St1-Gr1-A	FHF2-St1-Gr1-C	FHF2-St1-Gr2-A	FHF2-St1-Gr2-B	FHF2-St2-Gr1-A	FHF2-St2-Gr1-B	FHF2-St2-Gr1-C	FHF2-St2-Gr2-A	FHF2-St2-Gr2-B	FHF2-St2-Gr2-C	FHF2-St3-Gr1-A	FHF2-St3-Gr1-B	FHF2-St3-Gr1-C	FHF2-St3-Gr2-A	FHF2-St3-Gr2-B	FHF2-St3-Gr2-C	FHF2-St4-Gr1-A	FHF2-St4-Gr1-B	FHF2-St4-Gr1-C	FHF2-St4-Gr2-A	FHF2-St4-Gr2-B	FHF2-St4-Gr2-C	FHF2-St5-Gr1-A	FHF2-St5-Gr1-B	FHF2-St5-Gr1-C	FHF2-St5-Gr2-A	FHF2-St5-Gr2-B	FHF2-St5-Gr2-C	FHF3-St1-Gr1-A	FHF3-St1-Gr1-B	FHF3-St1-Gr1-C	FHF3-St1-Gr2-A	FHF3-St1-Gr2-B	FHF3-St1-Gr2-C	FHF3-St2-Gr1-A	FHF3-St2-Gr1-B	FHF3-St2-Gr1-C	FHF3-St2-Gr2-A	FHF3-St2-Gr2-B	FHF3-St2-Gr2-C	FHF3-St3-Gr1-A	FHF3-St3-Gr1-B	FHF3-St3-Gr1-C	FHF3-St3-Gr2-A	FHF3-St3-Gr2-B	FHF3-St3-Gr2-C	FHF3-St4-Gr1-A	FHF3-St4-Gr1-B	FHF3-St4-Gr1-C	FHF3-St4-Gr2-A	FHF3-St4-Gr2-B	FHF3-St4-Gr2-C	FHF3-St5-Gr1-A	FHF3-St5-Gr1-B	FHF3-St5-Gr1-C	FHF3-St5-Gr2-A	FHF3-St5-Gr2-B	FHF3-St5-Gr2-C	FHF4-St1-Gr1-A	FHF4-St1-Gr1-B	FHF4-St1-Gr1-C	FHF4-St1-Gr2-A	FHF4-St1-Gr2-B	FHF4-St1-Gr2-C	FHF4-St2-Gr1-A	FHF4-St2-Gr1-B	FHF4-St2-Gr1-C	FHF4-St2-Gr2-A	FHF4-St2-Gr2-B	FHF4-St2-Gr2-C	FHF4-St3-Gr1-A	FHF4-St3-Gr1-B	FHF4-St3-Gr1-C	FHF4-St3-Gr2-A	FHF4-St3-Gr2-B	FHF4-St3-Gr2-C	FHF4-St4-Gr1-A	FHF4-St4-Gr1-B	FHF4-St4-Gr1-C	FHF4-St4-Gr2-A	FHF4-St4-Gr2-B	FHF4-St4-Gr2-C	FHF4-St5-Gr1-A	FHF4-St5-Gr1-B	FHF4-St5-Gr1-C	FHF4-St5-Gr2-A	FHF4-St5-Gr2-B	FHF4-St5-Gr2-C	FHF5-St1-Gr1-A	FHF5-St1-Gr1-B	FHF5-St1-Gr1-C	FHF5-St1-Gr2-A	FHF5-St1-Gr2-B	FHF5-St1-Gr2-C	FHF5-St2-Gr1-A	FHF5-St2-Gr1-B	FHF5-St2-Gr1-C	FHF5-St2-Gr2-A	FHF5-St2-Gr2-B	FHF5-St2-Gr2-C	FHF5-St3-Gr1-A	FHF5-St3-Gr1-B	FHF5-St3-Gr1-C	FHF5-St3-Gr2-A	FHF5-St3-Gr2-B	FHF5-St3-Gr2-C	FHF5-St4-Gr1-A	FHF5-St4-Gr1-B	FHF5-St4-Gr1-C	FHF5-St4-Gr2-A	FHF5-St4-Gr2-B	FHF5-St4-Gr2-C	FHF5-St5-Gr1-A	FHF5-St5-Gr1-B	FHF5-St5-Gr1-C	FHF5-St5-Gr2-A	FHF5-St5-Gr2-B	FHF5-St5-Gr2-C	Taxa	order_orig
OTU2	48879	7	7	0	1	233	1	185	3	11	11	0	1148	471	377	2	1272	15	1	3567	10	26	43	5853	22	0	4	36	74	99	30	0	8	0	126	1	163	5	2	0	1	0	1	19	1	0	12	68	1	1	10	473	0	0	0	0	0	1	1	1	0	2	0	2	0	2	0	0	14	1	6	4	10	30	7	2	12	576	960	271	539	55	1	6	7	11	5	9	1	868	1818	1539	8719	3302	108	2	123	692	3	400	1408	8747	37	1161	941	1437	23	2	17	2	7	10	2	3	4	11	0	0	129	4	41	24	6	0	5	111	73	2	1	7	4	2	2	3	4	4	66	11	2	5	2	48	Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales	3
OTU6	36238	0	0	0	0	1	0	1	0	2	6	0	150	16	0	0	26	0	4	5077	5	0	28	284	578	0	6	36	1	45	29	0	10	0	39	0	0	2	1	0	1	0	5	10	0	2	2	2	0	0	0	265	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	12	0	0	1	0	7	6	3	40	3	19	1	13	24	0	7	27	0	3	7	2	2	683	632	1416	2947	3633	35	1	128	345	4	1	358	8302	40	3635	4853	208	4	8	0	26	419	63	0	2	0	1	0	1	8	1025	22	16	2	1	2	46	68	1	5	2	3	202	96	1	1	0	76	6	31	5	30	29	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; OM60	7
OTU8	28166	171	1622	146	28	190	90	136	16	465	86	14	1562	1392	726	14	530	11	9	438	146	37	13	136	2175	797	501	521	780	2249	117	42	1	456	15	47	555	15	1	39	0	1	1	2	4	4	0	23	35	76	16	45	15	4	30	5	12	1	0	7	0	1	1	0	4	16	0	19	54	7	87	35	33	98	122	16	71	149	235	79	117	20	11	50	12	39	6	190	23	286	1611	270	492	959	81	51	81	226	113	9	593	698	30	290	172	41	82	58	145	21	95	0	548	137	1030	211	88	106	121	328	190	72	62	17	7	7	46	16	20	77	33	35	3	87	137	165	41	14	22	33	14	30	Bacteria; Acidobacteria; Solibacteres; Solibacterales; PK34	9
OTU10	22169	0	1	0	2	1	0	656	0	2	161	0	1641	503	181	0	780	1	1	9	0	2	6	0	0	0	0	772	5458	156	3	1	0	0	2	0	1	0	0	0	0	0	2	0	1	0	0	0	1	4	0	0	0	0	2	0	1	0	0	0	15	1	0	1	2	1	19	44	8	0	0	0	0	0	161	0	1	0	3	0	4	0	62	1638	2	1	0	12	0	1166	3622	948	705	607	1	3	0	273	2	23	114	899	0	227	1	32	0	1213	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; OM60	11
OTU14	13826	0	1	3	0	0	0	324	3	58	12	41	273	224	606	153	1805	50	3	0	0	0	0	0	11	10	0	6	8	0	0	0	1	0	0	0	2	0	0	0	0	0	0	21	5	0	0	1	1	0	4	0	0	0	39	2	0	2	0	1	0	43	0	0	0	1	0	5	2	0	2	0	1	0	0	0	0	4	3	0	5	0	0	6	2	13	10	51	1	0	5	1	222	4	0	0	0	0	0	1	0	0	0	93	0	0	0	2	2	0	1	0	3004	664	4223	374	205	429	7	8	11	637	2	1	3	1	96	0	0	7	0	0	0	2	1	0	0	0	0	0	1	0	Bacteria	15
OTU17	7638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	2	0	0	0	0	0	1	7	0	4	0	33	0	1	0	0	0	0	0	0	0	0	0	0	161	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	4	0	1	0	0	0	1	33	0	0	0	0	0	0	1	0	0	0	318	0	350	1	0	0	0	0	0	260	5369	0	695	0	230	0	0	1	4	0	8	0	12	0	3	0	1	1	0	0	0	2	0	0	25	0	0	0	2	0	1	0	6	0	0	14	6	8	18	0	36	Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; JdFBGBact	18
OTU19	20534	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	6	3	1	0	1	2	1	20441	0	0	0	0	0	0	2	12	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	1	0	0	4	1	2	0	0	0	1	2	Bacteria; Cyanobacteria; Chloroplast; Streptophyta	20
OTU20	8881	78	0	53	0	34	3	2	2	228	12	324	0	0	0	1	316	0	0	0	0	0	0	1	17	2	0	152	3	14	0	0	0	6	0	0	0	0	2	0	0	0	0	9	2	0	1	0	0	0	0	0	69	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	2	0	1	2	0	60	251	57	25	770	203	0	38	1	0	0	1	15	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	1829	125	3221	352	212	342	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; Chloroflexi; Anaerolineae; SBR1031	21
OTU22	8123	0	3	0	0	0	0	23	0	1	150	0	0	228	0	2	2356	7	0	230	1	0	0	716	346	0	1	0	0	128	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	3	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	8	29	3	1	0	0	58	15	1	18	0	309	842	367	624	1	8	1	1	0	0	0	321	634	0	5	1	5	1	0	0	0	0	0	0	0	2	0	0	1	5	0	327	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales	23
OTU23	8846	0	1	0	0	5	0	5	0	3	235	0	41	1	0	4	868	3	0	455	2	0	0	1	0	0	0	0	1	1	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	7	0	0	0	24	0	2	0	0	1	0	0	0	0	3	0	43	240	6	42	206	55	2	634	15	546	1425	110	0	0	3	1	1	0	3	447	0	125	1	1	0	0	0	0	0	0	0	36	0	0	0	1	168	654	967	731	337	40	0	56	259	0	0	0	0	2	3	0	0	0	0	0	0	0	2	0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; OM60	24
