OTU_ID	Total_Abund_Otu	FHF1-St1-Gr1-A	FHF1-St1-Gr1-B	FHF1-St1-Gr1-C	FHF1-St1-Gr2-A	FHF1-St2-Gr1-C	FHF1-St2-Gr2-A	FHF1-St2-Gr2-B	FHF1-St3-Gr1-A	FHF1-St3-Gr1-B	FHF1-St3-Gr1-C	FHF1-St3-Gr2-A	FHF1-St3-Gr2-B	FHF1-St3-Gr2-C	FHF1-St4-Gr1-A	FHF1-St4-Gr1-B	FHF1-St4-Gr1-C	FHF1-St4-Gr2-A	FHF1-St4-Gr2-B	FHF1-St4-Gr2-C	FHF2-St1-Gr1-A	FHF2-St1-Gr1-B	FHF2-St1-Gr1-C	FHF2-St1-Gr2-A	FHF2-St1-Gr2-B	FHF2-St1-Gr2-C	FHF2-St2-Gr1-A	FHF2-St2-Gr1-B	FHF2-St2-Gr1-C	FHF2-St2-Gr2-A	FHF2-St2-Gr2-B	FHF2-St2-Gr2-C	FHF2-St3-Gr1-A	FHF2-St3-Gr1-B	FHF2-St3-Gr1-C	FHF2-St3-Gr2-A	FHF2-St3-Gr2-B	FHF2-St3-Gr2-C	FHF2-St4-Gr1-A	FHF2-St4-Gr1-B	FHF2-St4-Gr1-C	FHF2-St4-Gr2-A	FHF2-St4-Gr2-B	FHF2-St4-Gr2-C	FHF2-St5-Gr1-A	FHF2-St5-Gr1-B	FHF2-St5-Gr1-C	FHF2-St5-Gr2-A	FHF2-St5-Gr2-B	FHF2-St5-Gr2-C	FHF3-St1-Gr1-A	FHF3-St1-Gr1-B	FHF3-St1-Gr1-C	FHF3-St1-Gr2-B	FHF3-St1-Gr2-C	FHF3-St2-Gr1-A	FHF3-St2-Gr1-B	FHF3-St2-Gr1-C	FHF3-St2-Gr2-A	FHF3-St2-Gr2-B	FHF3-St3-Gr1-B	FHF3-St3-Gr1-C	FHF3-St3-Gr2-A	FHF3-St3-Gr2-C	FHF3-St4-Gr1-B	FHF3-St4-Gr1-C	FHF3-St4-Gr2-A	FHF3-St4-Gr2-B	FHF3-St4-Gr2-C	FHF3-St5-Gr1-A	FHF3-St5-Gr1-B	FHF3-St5-Gr1-C	FHF3-St5-Gr2-A	FHF3-St5-Gr2-B	FHF3-St5-Gr2-C	FHF4-St1-Gr1-C	FHF4-St1-Gr2-C	FHF4-St2-Gr1-A	FHF4-St2-Gr1-B	FHF4-St2-Gr1-C	FHF4-St2-Gr2-A	FHF4-St2-Gr2-B	FHF4-St2-Gr2-C	FHF4-St3-Gr1-A	FHF4-St3-Gr1-B	FHF4-St3-Gr1-C	FHF4-St3-Gr2-B	FHF4-St3-Gr2-C	FHF4-St4-Gr1-A	FHF4-St4-Gr1-B	FHF4-St4-Gr1-C	FHF4-St4-Gr2-A	FHF4-St4-Gr2-B	FHF4-St4-Gr2-C	FHF4-St5-Gr1-A	FHF4-St5-Gr1-C	FHF4-St5-Gr2-A	FHF4-St5-Gr2-B	FHF4-St5-Gr2-C	FHF5-St1-Gr1-A	FHF5-St1-Gr2-A	FHF5-St1-Gr2-B	FHF5-St1-Gr2-C	FHF5-St2-Gr1-A	FHF5-St2-Gr1-B	FHF5-St2-Gr1-C	FHF5-St2-Gr2-B	FHF5-St3-Gr1-A	FHF5-St3-Gr1-B	FHF5-St3-Gr1-C	FHF5-St3-Gr2-B	FHF5-St3-Gr2-C	FHF5-St4-Gr1-A	FHF5-St4-Gr1-B	FHF5-St4-Gr1-C	FHF5-St4-Gr2-A	FHF5-St4-Gr2-B	FHF5-St4-Gr2-C	FHF5-St5-Gr1-A	FHF5-St5-Gr1-B	FHF5-St5-Gr1-C	FHF5-St5-Gr2-A	FHF5-St5-Gr2-B	FHF5-St5-Gr2-C	Taxa	
OTU0	662523	57	2	6	226	14782	18018	9607	52877	69767	5434	34290	103057	17572	350	636	309	229	212	192	11144	5428	12282	54557	21960	26573	9886	6180	30042	23239	0	5774	279	151	85	220	155	158	44	29	127	144	44	138	81	16	59	1	173	522	7	0	41	16	2	4	0	0	0	0	242	1553	1348	6493	134	105	150	170	12	23	34	2	10	52	31	664	33	421	257	12	18468	15613	15648	17366	7269	3920	6844	678	175	189	85	171	10	621	11	96	56	64	10	1	273	30	0	0	2	1132	0	2158	517	8	90	14	3460	5696	7058	608	3562	199	134	37	58	342	125	795	Monothalamea;Monothalamids;CladeBM;Bathysiphon	
OTU1	574100	110	18	3124	84	12	10	26	60	98	27	1	6245	15	7637	3629	46	339	23	7	44	2	5	27	10	2736	0	2	977	5	9	1	868	2694	295	955	272	238	104	54	0	7	28	14	7	9	9	3	32	18	14	0	0	2	0	0	0	25	0	0	14	0	50	3	45	1119	3278	5961	13353	10	41	20	8	44	16	365	0	30	50	5	91	20037	5263	96003	6350	70124	161887	48650	27978	2836	1773	8068	982	8100	83	344	7495	4262	369	3	53	16	85	2	10	0	0	66	80	249	137	222	4757	82	2545	23590	764	132	4930	2524	6925	179	91	574	Unassigned	
OTU2	698457	4846	38	4138	6178	2900	5306	11986	4026	2209	629	912	3567	1851	3020	784	664	223	362	660	5345	1553	479	2288	598	2209	981	121	6441	483	1	116	2452	1507	625	501	674	1235	2107	1106	135	472	214	463	163	162	432	57	265	1211	3901	2317	1268	2276	92	652	2739	7603	9321	4198	5278	10400	68272	25342	2290	183	485	994	636	1925	4095	7041	952	1542	4000	2283	579	14205	13739	4391	943	3798	4923	819	1409	1397	676	223	1918	2802	1119	1682	3722	65868	26	361	745	1227	102	5154	4220	1374	2651	2836	1390	1863	14300	41650	18104	30702	23803	16191	15770	3833	7291	13308	26016	51776	5043	3341	1879	3323	1921	15264	Globothalamea;Rotaliida;Buliminidae;Stainforthia	
OTU3	532877	7043	39	7485	26166	35325	26655	14690	3930	3350	1325	4262	6990	3338	210	750	0	17	55	198	10700	9905	2779	15264	5002	3554	4186	436	11418	5673	2	940	365	2004	152	270	112	308	1509	1221	243	107	108	184	61	70	46	7	18	62	28	898	1342	372	55	2827	10041	24747	11574	14891	9166	15640	59035	83015	1422	65	191	183	82	345	352	180	7	8	98	1102	545	12170	7974	1992	647	2091	2420	122	246	911	372	7669	1854	369	171	685	133	681	12	38	115	135	28	3	1777	663	573	413	102	309	6	15	18	2072	11824	1065	13	0	1	86	5	113	353	1675	537	2756	3764	7154	Globothalamea;Rotaliida;Buliminidae;Bulimina;marginata	
OTU4	463490	1990	68	2140	3919	2573	3563	13387	1149	182	128	748	3623	1038	817	256	26	33	58	28	1477	270	120	349	41	329	382	17	1146	201	0	29	739	404	165	344	331	346	763	62	59	356	268	169	192	179	214	51	164	613	13014	11078	8197	7746	534	4083	5308	28429	24247	6206	10138	20408	57154	40157	776	190	353	206	220	948	1062	3211	164	216	658	8	1061	4610	4013	3033	1384	3461	5878	746	751	228	221	62	1328	2400	1325	491	270	3714	23	242	276	386	44	5520	21596	1306	10619	1316	6665	1071	5330	2681	272	19602	20683	24786	3442	342	376	510	402	839	957	1202	954	1788	1811	3256	Globothalamea;Rotaliida;Clade3;Cibicidoides;lobatulus	
OTU5	397667	6285	14	6412	16560	23863	23577	17627	2129	2059	1084	4945	3667	3467	225	392	0	38	83	151	10291	7344	1806	10862	3329	2788	4285	313	9542	3595	4	532	340	1496	55	122	103	147	396	1085	136	82	19	397	66	25	179	6	18	52	428	800	273	258	142	1757	7922	12697	3074	23855	5663	11019	38137	28468	706	168	217	117	114	53	78	190	8	14	309	2063	268	7578	22503	1106	315	850	1335	122	164	481	496	5193	1483	325	136	123	110	617	10	28	64	107	15	839	5182	385	306	1029	51	1	7	480	6	1351	20111	29	5	103	2	145	6	336	285	716	153	3496	5579	3112	Globothalamea;Rotaliida;Buliminidae;Bulimina;marginata	
OTU6	400562	7823	365	15753	10238	1109	2451	6380	503	2352	34	388	1353	212	67	67	49	0	27	23	570	212	42	368	152	212	255	25	3252	154	1	11	574	450	89	0	96	54	742	45	4	298	107	92	56	98	32	14	61	51	9692	9165	10590	3780	815	1213	2019	15354	7718	7165	1411	2950	3119	13070	179	74	84	297	380	157	319	302	106	34	134	5810	1332	2051	1772	1870	423	2756	5954	237	220	42	116	43	722	261	399	432	145	950	11	106	282	406	37	12364	3382	1306	46843	3112	3977	1457	20502	17623	18874	42019	11426	29582	3248	571	2406	85	501	326	581	369	355	708	776	4354	Globothalamea;Rotaliida;Rosalinidae;Rosalina;sp;XX000000-13127.6-Villefranche	
OTU7	195068	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	5	5	0	0	1	0	0	0	744	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	57	1915	0	43	0	4	0	9286	101001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	590	0	7	0	0	81059	Monothalamea;Monothalamids;ENFOR9;ENV;sp;XX000000-F70.31T-SO	
OTU8	191507	0	0	1	0	0	0	14	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	13014	163309	111	3	2	2	0	0	1	0	0	0	32	0	8	0	0	0	0	0	2	0	525	2168	2722	301	304	0	1	30	1	1279	3	0	0	0	0	0	0	0	0	0	0	0	2	13	9	1	4384	0	1763	0	321	1108	13	2	11	1	Globothalamea;Textulariida;Hormosinidae;Reophax;sp;XX000000-14081.1-Eilat	
OTU9	183209	0	0	3	0	0	54	1	0	15	70	383	268	127	94	319	215	32	17	61	13993	200	474	1995	423	519	5255	52	3881	540	2	56	2	19	161	48	20	77	432	3	127	5109	379	312	161	11	651	83	409	834	0	1	119	0	0	0	0	0	3	2	0	500	1	0	0	0	64	1	71	533	400	620	366	355	309	4	4	53	48	42	47	0	4	3	36	0	13	8	56	422	30	35	388	47	76388	150	627	3283	49623	2	443	84	2	0	0	0	0	0	0	0	0	1	719	88	1	116	350	55	225	799	6935	186	66	594	Monothalamea;Monothalamids;CladeY	
